"dataset","method","threshold","samples","base_tokens","mean_tokens","token_ratio","std_tokens","p50_tokens","p90_tokens","min_tokens","max_tokens"
"food101","a4_learned_apt","0.0","500","196","196.0","1.0","0.0","196.0","196.0","196","196"
"food101","a4_learned_apt","0.25","500","196","195.802","0.9989897959183673","1.486874574400948","196.0","196.0","175","196"
"food101","a4_learned_apt","0.5","500","196","195.7","0.998469387755102","1.7748239349298849","196.0","196.0","175","196"
"food101","a4_learned_apt","0.75","500","196","195.544","0.9976734693877551","2.0366796508042206","196.0","196.0","175","196"
"food101","a4_learned_apt","1.0","500","196","195.208","0.9959591836734694","2.837029432346447","196.0","196.0","169","196"
"food101","a4_learned_apt","1.25","500","196","194.458","0.9921326530612244","4.559411804169481","196.0","196.0","151","196"
"food101","a4_learned_apt","1.5","500","196","193.606","0.9877857142857143","5.836674052917466","196.0","196.0","139","196"
"food101","a4_learned_apt","1.75","500","196","192.346","0.9813571428571429","7.39150079483186","196.0","196.0","139","196"
"food101","a4_learned_apt","2.0","500","196","190.804","0.9734897959183674","9.293308560464352","196.0","196.0","133","196"
"food101","a4_learned_apt","2.25","500","196","188.74","0.9629591836734694","11.38246019101319","193.0","196.0","121","196"
"food101","a4_learned_apt","2.5","500","196","185.848","0.9482040816326531","14.412664430978749","190.0","196.0","106","196"
"food101","a4_learned_apt","2.75","500","196","182.536","0.9313061224489796","17.035630425669606","190.0","196.0","85","196"
"food101","a4_learned_apt","3.0","500","196","178.444","0.9104285714285714","20.003971205738125","184.0","196.0","64","196"
"food101","a4_learned_apt","3.25","500","196","173.446","0.8849285714285714","22.64745204211723","181.0","196.0","58","196"
"food101","a4_learned_apt","3.5","500","196","166.798","0.8510102040816326","25.655042311405374","172.0","193.0","49","196"
"food101","a4_learned_apt","3.75","500","196","158.128","0.8067755102040816","28.334142231590494","163.0","190.0","49","196"
"food101","a4_learned_apt","4.0","500","196","146.944","0.7497142857142857","31.29391097322289","151.0","184.0","49","196"
"food101","a4_learned_apt","4.25","500","196","133.132","0.6792448979591837","33.80003810648739","136.0","175.0","49","196"
"food101","a4_learned_apt","4.5","500","196","116.206","0.5928877551020408","34.15475902418285","115.0","163.0","49","193"
"food101","a4_learned_apt","4.75","500","196","97.57","0.49780612244897954","31.6800426136077","94.0","142.0","49","187"
"food101","a4_learned_apt","5.0","500","196","78.31","0.3995408163265306","25.725432940963305","73.0","118.0","49","166"
"food101","a4_learned_apt","5.25","500","196","62.104","0.31685714285714284","16.457010178036594","55.0","85.0","49","133"
"food101","a4_learned_apt","5.5","500","196","52.15","0.26607142857142857","6.5366275708502775","49.0","58.30000000000007","49","88"
"food101","a4_learned_apt","5.75","500","196","49.156","0.25079591836734694","0.789724002421099","49.0","49.0","49","55"
"food101","a4_learned_apt","6.0","500","196","49.0","0.25","0.0","49.0","49.0","49","49"
